pdt_name,pdt_name_clean,pdt_cas,브랜드명,규격/스펙
"AmplitubeTM PP PCR Reaction Tube Strips, Individually Attached Cap, 8 Strips, -196℃~+121℃ with Domed or Flat Cap, Ultrathin Wall, Certified RNase, DNase, Pyrogen and DNA-free, 0.2㎖ PCR 스트립 튜브, 개별 캡","amplitubetm pp pcr reaction tube strips, individually attached cap, 8 strips, -196℃~+121℃ with domed or flat cap, ultrathin wall, certified rnase, dnase, pyrogen and dna-free, 0.2㎖ pcr 스트립 튜브, 개별 캡",,,
"SequreSealTM Adhesive PCR Sealing Film, Transparent, Minimization of Evaporation, -70℃~+100℃ Ideal for Reducing well-to-well Contamination, Certified RNase, DNase, and DNA-free, DMSO Resistant, PCR 투명 실링 필름, 접착식","sequresealtm adhesive pcr sealing film, transparent, minimization of evaporation, -70℃~+100℃ ideal for reducing well-to-well contamination, certified rnase, dnase, and dna-free, dmso resistant, pcr 투명 실링 필름, 접착식",,,
"SequreSealTM Adhesive PCR Aluminum Sealing Foil, Pierceable, -80℃~+120℃ Ideal for Manual Sealing, Certified RNase, DNase, and DNA-free, DMSO Resistant, PCR 알루미늄 실링 호일, 접착식","sequresealtm adhesive pcr aluminum sealing foil, pierceable, -80℃~+120℃ ideal for manual sealing, certified rnase, dnase, and dna-free, dmso resistant, pcr 알루미늄 실링 호일, 접착식",,,
"SequreSealTM Adhesive qPCR Sealing Film, with End Tabs, for Real Time PCR, -70℃~+100℃ Suited for Raised-rim Plates, Certified RNase, DNase, and DNA-free, DMSO Resistant, qPCR 투명 실링 필름, 접착식","sequresealtm adhesive qpcr sealing film, with end tabs, for real time pcr, -70℃~+100℃ suited for raised-rim plates, certified rnase, dnase, and dna-free, dmso resistant, qpcr 투명 실링 필름, 접착식",,,
"AmplateTM Reusable Roller, for PCR, Sealing, 롤러","amplatetm reusable roller, for pcr, sealing, 롤러",,,
"Amos Neo StickSTM Dry Highlighter Pen with Hanging Hook, 네오스틱TM 고체형광펜","amos neo stickstm dry highlighter pen with hanging hook, 네오스틱tm 고체형광펜",,,
"Amos Perfume Sign Pen, 14 Colors Set for Home, Office & School, Different Perfume by Color, 14색 향기 사인펜","amos perfume sign pen, 14 colors set for home, office & school, different perfume by color, 14색 향기 사인펜",,,
"Kartell PE Bellows Dropping Pipets, Graduated, 1.5 & 5.0㎖ with Individual Wrapped, “Bellows” type, PE 풀무타입 드로핑 피펫","kartell pe bellows dropping pipets, graduated, 1.5 & 5.0㎖ with individual wrapped, “bellows” type, pe 풀무타입 드로핑 피펫",,,
"Natural Rubber Safety Fillers, Up to 100㎖ Pipets, 안전 피펫필러","natural rubber safety fillers, up to 100㎖ pipets, 안전 피펫필러",,,
"Witeg Pipette Controller, Non-electrical Pipette Filling, WITO , 0.1~100㎖ with Replacement Filter, Lightweight, 피펫 컨트롤러, 편리형","witeg pipette controller, non-electrical pipette filling, wito , 0.1~100㎖ with replacement filter, lightweight, 피펫 컨트롤러, 편리형",,,
"SecureSealTM Adhesive Sealing Flim, for All Micro-well Plates Made of Polyester, -40℃~+100℃, 점착성 씰링 필름","securesealtm adhesive sealing flim, for all micro-well plates made of polyester, -40℃~+100℃, 점착성 씰링 필름",,,
"Liquid Handy Pump, PE, Bellows-type for Acids & General Purpose, 플라스틱 핸디 펌프","liquid handy pump, pe, bellows-type for acids & general purpose, 플라스틱 핸디 펌프",,,
"Foot Pump, Compact Heavy Duty Design, with Gauge, 발펌프, 외발용","foot pump, compact heavy duty design, with gauge, 발펌프, 외발용",,,
"100 ~ 20,000㎖ DURAN-glass Flat-bottom Vacuum/Pressure Reaction Vessels, with 45?°DN-flange/O-ring Groove 평저 진공 / 압력 반응 베셀, O-링 홈부, 완벽한 호환성 표준화 규격, Perfact Compatibility, 0.5 ~ 2.5 bar","100 ~ 20,000㎖ duran-glass flat-bottom vacuum pressure reaction vessels, with 45?°dn-flange o-ring groove 평저 진공 압력 반응 베셀, o-링 홈부, 완벽한 호환성 표준화 규격, perfact compatibility, 0.5 ~ 2.5 bar",,,
"PTFE Drain-valved 250 ~ 20,000㎖ DURAN-glass Vacuum/Pressure Reaction Vessel, with 45°DN-flange/O-ring Groove with Perfect Compatibility, 0.5 ~ 2.5 bar, 배출 밸브형 진공 / 압력 반응 베셀, O-링 홈부, 완벽한 호환성 표준화 규격","ptfe drain-valved 250 ~ 20,000㎖ duran-glass vacuum pressure reaction vessel, with 45°dn-flange o-ring groove with perfect compatibility, 0.5 ~ 2.5 bar, 배출 밸브형 진공 압력 반응 베셀, o-링 홈부, 완벽한 호환성 표준화 규격",,,
